id,phase,intel,speaker,cognitive_skills,standard_score
44,pretest,34.17721519,AM1,list_sort_c,107
44,pretest,34.17721519,AM1,flanker_c,108
44,pretest,34.17721519,AM1,card_sort_c,107
44,pretest,34.17721519,AM1,vocab_c,114
44,pretest,34.17721519,AM1,pattern_c,135
45,posttest,42.12765957,AM1,list_sort_c,112
45,posttest,42.12765957,AM1,flanker_c,91
45,posttest,42.12765957,AM1,card_sort_c,95
45,posttest,42.12765957,AM1,vocab_c,108
45,posttest,42.12765957,AM1,pattern_c,129
45,pretest,30.37974684,AM1,list_sort_c,112
45,pretest,30.37974684,AM1,flanker_c,91
45,pretest,30.37974684,AM1,card_sort_c,95
45,pretest,30.37974684,AM1,vocab_c,108
45,pretest,30.37974684,AM1,pattern_c,129
47,posttest,43.40425532,AM1,list_sort_c,106
47,posttest,43.40425532,AM1,flanker_c,90
47,posttest,43.40425532,AM1,card_sort_c,102
47,posttest,43.40425532,AM1,vocab_c,103
47,posttest,43.40425532,AM1,pattern_c,121
47,pretest,24.05063291,AM1,list_sort_c,106
47,pretest,24.05063291,AM1,flanker_c,90
47,pretest,24.05063291,AM1,card_sort_c,102
47,pretest,24.05063291,AM1,vocab_c,103
47,pretest,24.05063291,AM1,pattern_c,121
48,posttest,59.57446809,AM1,list_sort_c,91
48,posttest,59.57446809,AM1,flanker_c,86
48,posttest,59.57446809,AM1,card_sort_c,107
48,posttest,59.57446809,AM1,vocab_c,103
48,posttest,59.57446809,AM1,pattern_c,96
48,pretest,48.10126582,AM1,list_sort_c,91
48,pretest,48.10126582,AM1,flanker_c,86
48,pretest,48.10126582,AM1,card_sort_c,107
48,pretest,48.10126582,AM1,vocab_c,103
48,pretest,48.10126582,AM1,pattern_c,96
49,posttest,48.08510638,AM1,list_sort_c,102
49,posttest,48.08510638,AM1,flanker_c,103
49,posttest,48.08510638,AM1,card_sort_c,107
49,posttest,48.08510638,AM1,vocab_c,102
49,posttest,48.08510638,AM1,pattern_c,130
49,pretest,27.84810127,AM1,list_sort_c,102
49,pretest,27.84810127,AM1,flanker_c,103
49,pretest,27.84810127,AM1,card_sort_c,107
49,pretest,27.84810127,AM1,vocab_c,102
49,pretest,27.84810127,AM1,pattern_c,130
50,posttest,47.23404255,AM1,list_sort_c,116
50,posttest,47.23404255,AM1,flanker_c,113
50,posttest,47.23404255,AM1,card_sort_c,107
50,posttest,47.23404255,AM1,vocab_c,138
50,posttest,47.23404255,AM1,pattern_c,114
50,pretest,40.50632911,AM1,list_sort_c,116
50,pretest,40.50632911,AM1,flanker_c,113
50,pretest,40.50632911,AM1,card_sort_c,107
50,pretest,40.50632911,AM1,vocab_c,138
50,pretest,40.50632911,AM1,pattern_c,114
51,posttest,52.34042553,AM1,list_sort_c,113
51,posttest,52.34042553,AM1,flanker_c,114
51,posttest,52.34042553,AM1,card_sort_c,91
51,posttest,52.34042553,AM1,vocab_c,118
51,posttest,52.34042553,AM1,pattern_c,125
51,pretest,37.97468354,AM1,list_sort_c,113
51,pretest,37.97468354,AM1,flanker_c,114
51,pretest,37.97468354,AM1,card_sort_c,91
51,pretest,37.97468354,AM1,vocab_c,118
51,pretest,37.97468354,AM1,pattern_c,125
53,posttest,52.76595745,AM1,list_sort_c,107
53,posttest,52.76595745,AM1,flanker_c,91
53,posttest,52.76595745,AM1,card_sort_c,95
53,posttest,52.76595745,AM1,vocab_c,97
53,posttest,52.76595745,AM1,pattern_c,112
53,pretest,35.44303797,AM1,list_sort_c,107
53,pretest,35.44303797,AM1,flanker_c,91
53,pretest,35.44303797,AM1,card_sort_c,95
53,pretest,35.44303797,AM1,vocab_c,97
53,pretest,35.44303797,AM1,pattern_c,112
55,posttest,54.04255319,AM1,list_sort_c,123
55,posttest,54.04255319,AM1,flanker_c,96
55,posttest,54.04255319,AM1,card_sort_c,106
55,posttest,54.04255319,AM1,vocab_c,115
55,posttest,54.04255319,AM1,pattern_c,90
55,pretest,41.7721519,AM1,list_sort_c,123
55,pretest,41.7721519,AM1,flanker_c,96
55,pretest,41.7721519,AM1,card_sort_c,106
55,pretest,41.7721519,AM1,vocab_c,115
55,pretest,41.7721519,AM1,pattern_c,90
56,posttest,42.12765957,AM1,list_sort_c,96
56,posttest,42.12765957,AM1,flanker_c,91
56,posttest,42.12765957,AM1,card_sort_c,124
56,posttest,42.12765957,AM1,vocab_c,108
56,posttest,42.12765957,AM1,pattern_c,135
56,pretest,24.05063291,AM1,list_sort_c,96
56,pretest,24.05063291,AM1,flanker_c,91
56,pretest,24.05063291,AM1,card_sort_c,124
56,pretest,24.05063291,AM1,vocab_c,108
56,pretest,24.05063291,AM1,pattern_c,135
57,posttest,56.59574468,AM1,list_sort_c,92
57,posttest,56.59574468,AM1,flanker_c,109
57,posttest,56.59574468,AM1,card_sort_c,125
57,posttest,56.59574468,AM1,vocab_c,118
57,posttest,56.59574468,AM1,pattern_c,137
57,pretest,37.97468354,AM1,list_sort_c,92
57,pretest,37.97468354,AM1,flanker_c,109
57,pretest,37.97468354,AM1,card_sort_c,125
57,pretest,37.97468354,AM1,vocab_c,118
57,pretest,37.97468354,AM1,pattern_c,137
58,posttest,54.89361702,AM1,list_sort_c,81
58,posttest,54.89361702,AM1,flanker_c,114
58,posttest,54.89361702,AM1,card_sort_c,131
58,posttest,54.89361702,AM1,vocab_c,95
58,posttest,54.89361702,AM1,pattern_c,80
58,pretest,27.84810127,AM1,list_sort_c,81
58,pretest,27.84810127,AM1,flanker_c,114
58,pretest,27.84810127,AM1,card_sort_c,131
58,pretest,27.84810127,AM1,vocab_c,95
58,pretest,27.84810127,AM1,pattern_c,80
59,posttest,54.04255319,AM1,list_sort_c,108
59,posttest,54.04255319,AM1,flanker_c,100
59,posttest,54.04255319,AM1,card_sort_c,93
59,posttest,54.04255319,AM1,vocab_c,121
59,posttest,54.04255319,AM1,pattern_c,122
59,pretest,41.7721519,AM1,list_sort_c,108
59,pretest,41.7721519,AM1,flanker_c,100
